id_igre,ime,konzola,ocena,tezavnost,dolzina,povezava
189709,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,124,4.46,2.93,80.00+,/switch/189709-dragon-quest-xi-s-echoes-of-an-elusive-age-definitive
877120,The Legend of Zelda: Majora's Mask 3D,116,4.46,3.25,38.14,/3ds/877120-the-legend-of-zelda-majoras-mask-3d
920500,Okami,94,4.46,2.87,47.01,/ps2/920500-okami
702760,The Witcher 3: Wild Hunt,120,4.46,3.37,80.00+,/ps4/702760-the-witcher-3-wild-hunt
643003,Fire Emblem: Awakening,116,4.45,3.25,58.16,/3ds/643003-fire-emblem-awakening
943356,Monster Hunter Freedom Unite,109,4.45,4.03,80.00+,/psp/943356-monster-hunter-freedom-unite
234547,Super Smash Bros. Ultimate,124,4.45,3.32,73.51,/switch/234547-super-smash-bros-ultimate
258273,Baldur's Gate II: Shadows of Amn,19,4.45,3.42,75.73,/pc/258273-baldurs-gate-ii-shadows-of-amn
955125,Uncharted 2: Among Thieves,113,4.45,3.10,20.79,/ps3/955125-uncharted-2-among-thieves
942695,Cave Story,19,4.45,3.69,14.99,/pc/942695-cave-story
588739,Super Mario RPG: Legend of the Seven Stars,63,4.45,2.89,34.34,/snes/588739-super-mario-rpg-legend-of-the-seven-stars
195484,Animal Crossing: New Leaf - Welcome Amiibo,116,4.45,2.58,80.00+,/3ds/195484-animal-crossing-new-leaf-welcome-amiibo
652686,The Last of Us,113,4.45,3.29,23.91,/ps3/652686-the-last-of-us
920182,Paper Mario: The Thousand-Year Door,99,4.45,3.01,45.03,/gamecube/920182-paper-mario-the-thousand-year-door
683293,Bayonetta 2,118,4.45,3.64,31.41,/wii-u/683293-bayonetta-2
960551,Super Mario Galaxy 2,114,4.45,3.14,36.60,/wii/960551-super-mario-galaxy-2
641334,Zero Escape: Virtue's Last Reward,116,4.45,3.27,39.02,/3ds/641334-zero-escape-virtues-last-reward
937723,Castlevania: Symphony of the Night,111,4.44,3.17,29.12,/xbox360/937723-castlevania-symphony-of-the-night
937269,Shin Megami Tensei: Persona 3 FES,94,4.44,3.58,78.94,/ps2/937269-shin-megami-tensei-persona-3-fes
805577,Bloodborne,120,4.44,4.12,62.87,/ps4/805577-bloodborne
437029,Silent Hill 2,94,4.44,3.15,17.74,/ps2/437029-silent-hill-2
556553,Star Wars: Knights of the Old Republic,98,4.44,3.09,51.78,/xbox/556553-star-wars-knights-of-the-old-republic
959194,Tales of Vesperia,113,4.43,3.09,78.45,/ps3/959194-tales-of-vesperia
198705,SoulCalibur,67,4.43,3.07,27.92,/dreamcast/198705-soulcalibur
991073,Portal 2,19,4.43,3.09,17.07,/pc/991073-portal-2
930370,Final Fantasy VI Advance,91,4.43,3.03,53.32,/gba/930370-final-fantasy-vi-advance
934384,The Orange Box,111,4.43,3.20,43.82,/xbox360/934384-the-orange-box
187975,Planescape: Torment,19,4.43,3.18,54.38,/pc/187975-planescape-torment
991479,Monster Hunter Portable 3rd,109,4.43,3.64,79.58,/psp/991479-monster-hunter-portable-3rd
562913,Chrono Trigger,78,4.43,3.02,47.92,/ps/562913-chrono-trigger
711412,The Legend of Zelda: A Link Between Worlds,116,4.43,2.88,25.79,/3ds/711412-the-legend-of-zelda-a-link-between-worlds
535836,Resident Evil,99,4.43,3.59,19.53,/gamecube/535836-resident-evil
50544,Grim Fandango,19,4.43,3.34,22.84,/pc/50544-grim-fandango
250533,Deus Ex,19,4.43,3.31,38.25,/pc/250533-deus-ex
981374,Batman: Arkham City,111,4.43,3.17,27.94,/xbox360/981374-batman-arkham-city
915410,Kingdom Hearts II,94,4.42,2.96,53.64,/ps2/915410-kingdom-hearts-ii
561577,Silent Hill 2,19,4.42,3.07,17.11,/pc/561577-silent-hill-2
561356,Golden Sun: The Lost Age,91,4.42,3.07,50.38,/gba/561356-golden-sun-the-lost-age
998181,The ICO & Shadow of the Colossus Collection,113,4.42,3.25,26.66,/ps3/998181-the-ico-and-shadow-of-the-colossus-collection
997849,Portal 2,113,4.42,3.17,17.87,/ps3/997849-portal-2
981375,Batman: Arkham City,113,4.42,3.16,28.39,/ps3/981375-batman-arkham-city
197770,The Legend of Zelda: Majora's Mask,84,4.42,3.38,41.92,/n64/197770-the-legend-of-zelda-majoras-mask
561508,Metal Gear Solid 2: Substance,94,4.42,3.26,28.99,/ps2/561508-metal-gear-solid-2-substance
991101,Portal 2,111,4.42,3.20,18.63,/xbox360/991101-portal-2
945075,Tales of Vesperia,111,4.42,3.07,71.03,/xbox360/945075-tales-of-vesperia
564404,Fire Emblem: Seisen no Keifu,63,4.42,3.72,50.48,/snes/564404-fire-emblem-seisen-no-keifu
204445,Fire Emblem: Three Houses,124,4.41,2.97,79.63,/switch/204445-fire-emblem-three-houses
960100,Pokemon SoulSilver Version,108,4.41,2.88,57.06,/ds/960100-pokemon-soulsilver-version
447244,Metroid Prime,99,4.41,3.31,28.14,/gamecube/447244-metroid-prime
588283,Donkey Kong Country 2: Diddy's Kong Quest,63,4.41,3.41,21.62,/snes/588283-donkey-kong-country-2-diddys-kong-quest
197339,Final Fantasy Tactics,78,4.41,3.44,65.16,/ps/197339-final-fantasy-tactics
200738,Monster Hunter XX: Double Cross,116,4.41,3.60,80.00+,/3ds/200738-monster-hunter-xx-double-cross
925156,Resident Evil 4,94,4.41,3.29,28.44,/ps2/925156-resident-evil-4
763296,Danganronpa 2: Goodbye Despair,117,4.41,3.01,38.53,/vita/763296-danganronpa-2-goodbye-despair
702759,The Witcher 3: Wild Hunt,121,4.41,3.58,80.00+,/xboxone/702759-the-witcher-3-wild-hunt
563492,Snatcher,65,4.41,2.87,13.17,/segacd/563492-snatcher
997885,Journey,113,4.41,2.10,4.36,/ps3/997885-journey
253544,Hades,19,4.41,3.71,55.72,/pc/253544-hades
941875,The Elder Scrolls IV: Oblivion - Game of the Year Edition,111,4.41,3.08,78.97,/xbox360/941875-the-elder-scrolls-iv-oblivion-game-of-the-year-edition
191627,God of War,120,4.41,3.45,41.15,/ps4/191627-god-of-war
960608,Fallout 3: Game of the Year Edition,111,4.41,3.09,73.55,/xbox360/960608-fallout-3-game-of-the-year-edition
168677,NieR: Automata,120,4.41,3.03,54.07,/ps4/168677-nier-automata
641809,Persona 5,113,4.41,3.12,80.00+,/ps3/641809-persona-5
835582,Xenoblade Chronicles 3D,116,4.40,3.27,80.00+,/3ds/835582-xenoblade-chronicles-3d
938210,The Orange Box,19,4.40,3.06,61.74,/pc/938210-the-orange-box
643007,Monster Hunter 4,116,4.40,3.77,80.00+,/3ds/643007-monster-hunter-4
696959,Pokemon X,116,4.40,2.51,59.39,/3ds/696959-pokemon-x
971712,Fantasy Life,116,4.40,2.85,76.05,/3ds/971712-fantasy-life
25418,Starcraft,19,4.40,3.67,52.13,/pc/25418-starcraft
783739,The Last of Us Remastered,120,4.40,3.26,28.76,/ps4/783739-the-last-of-us-remastered
198848,Super Mario 64,84,4.40,3.12,35.64,/n64/198848-super-mario-64
643016,Red Dead Redemption: Game of the Year Edition,113,4.40,3.04,49.00,/ps3/643016-red-dead-redemption-game-of-the-year-edition
974785,Ghost Trick: Phantom Detective,108,4.40,2.99,15.88,/ds/974785-ghost-trick-phantom-detective
194395,The Witcher 3: Wild Hunt - Complete Edition,19,4.40,2.97,80.00+,/pc/194395-the-witcher-3-wild-hunt-complete-edition
648893,Fallout: New Vegas - Ultimate Edition,19,4.40,3.02,77.99,/pc/648893-fallout-new-vegas-ultimate-edition
960099,Pokemon HeartGold Version,108,4.40,2.86,58.41,/ds/960099-pokemon-heartgold-version
197338,Final Fantasy IX,78,4.40,3.02,64.14,/ps/197338-final-fantasy-ix
633202,Super Smash Bros. for Wii U,118,4.40,3.18,71.63,/wii-u/633202-super-smash-bros-for-wii-u
957923,Red Dead Redemption,113,4.40,3.01,44.55,/ps3/957923-red-dead-redemption
684080,Kingdom Hearts HD 1.5 ReMIX,113,4.40,3.17,63.87,/ps3/684080-kingdom-hearts-hd-15-remix
915692,Super Mario Galaxy,114,4.40,3.00,34.04,/wii/915692-super-mario-galaxy
610292,Uncharted 2: Among Thieves Game of the Year Edition,113,4.40,3.15,22.43,/ps3/610292-uncharted-2-among-thieves-game-of-the-year-edition
588737,Super Mario All-Stars,63,4.39,3.26,35.39,/snes/588737-super-mario-all-stars
563277,The Legend of Zelda: Link's Awakening,59,4.39,3.08,27.13,/gameboy/563277-the-legend-of-zelda-links-awakening
928518,Super Smash Bros. Brawl,114,4.39,3.08,53.66,/wii/928518-super-smash-bros-brawl
995078,Disgaea 4: A Promise Unforgotten,113,4.39,3.28,68.56,/ps3/995078-disgaea-4-a-promise-unforgotten
674775,Okami HD,113,4.39,2.81,49.95,/ps3/674775-okami-hd
644272,Yakuza 5,113,4.39,2.97,77.72,/ps3/644272-yakuza-5
199365,Xenogears,78,4.39,3.19,69.90,/ps/199365-xenogears
723483,Disgaea 4: A Promise Revisited,117,4.39,3.18,80.00+,/vita/723483-disgaea-4-a-promise-revisited
642342,Monster Hunter 3 Ultimate,116,4.39,3.87,80.00+,/3ds/642342-monster-hunter-3-ultimate
204582,Hollow Knight,124,4.39,4.02,51.47,/switch/204582-hollow-knight
816306,Yakuza 0,120,4.39,3.00,70.96,/ps4/816306-yakuza-0
605817,Gyakuten Kenji 2,108,4.39,3.03,36.46,/ds/605817-gyakuten-kenji-2
615803,The Elder Scrolls V: Skyrim,111,4.39,2.98,79.91,/xbox360/615803-the-elder-scrolls-v-skyrim
643017,Red Dead Redemption: Game of the Year Edition,111,4.39,3.06,48.06,/xbox360/643017-red-dead-redemption-game-of-the-year-edition
914642,Half-Life 2,19,4.39,3.02,21.78,/pc/914642-half-life-2
375087,Pokemon Crystal Version,57,4.39,2.85,55.40,/gbc/375087-pokemon-crystal-version
759563,Phoenix Wright: Ace Attorney Trilogy,116,4.39,3.12,57.93,/3ds/759563-phoenix-wright-ace-attorney-trilogy
957922,Red Dead Redemption,111,4.39,3.04,43.30,/xbox360/957922-red-dead-redemption
826290,Resident Evil HD Remaster,113,4.39,3.37,17.33,/ps3/826290-resident-evil-hd-remaster
102483,Final Fantasy VII,120,4.39,2.87,66.87,/ps4/102483-final-fantasy-vii
792673,Pokemon Omega Ruby,116,4.39,2.59,60.27,/3ds/792673-pokemon-omega-ruby
632696,Metal Gear Solid HD Collection,111,4.39,3.36,48.81,/xbox360/632696-metal-gear-solid-hd-collection
951686,Banjo-Kazooie,111,4.38,2.98,18.38,/xbox360/951686-banjo-kazooie
625523,Resident Evil 4 HD,111,4.38,3.27,24.94,/xbox360/625523-resident-evil-4-hd
648891,Fallout: New Vegas - Ultimate Edition,111,4.38,3.18,76.34,/xbox360/648891-fallout-new-vegas-ultimate-edition
641335,Zero Escape: Virtue's Last Reward,117,4.38,3.23,38.29,/vita/641335-zero-escape-virtues-last-reward
950903,Portal: Still Alive,111,4.38,3.21,12.26,/xbox360/950903-portal-still-alive
939933,Fallout 3,111,4.38,3.11,67.47,/xbox360/939933-fallout-3
185269,Story of Seasons: Trio of Towns,116,4.38,2.91,80.00+,/3ds/185269-story-of-seasons-trio-of-towns
561559,The Legend of Zelda: A Link to the Past / Four Swords,91,4.38,3.24,29.60,/gba/561559-the-legend-of-zelda-a-link-to-the-past-four-swords
588301,EarthBound,63,4.38,3.16,38.39,/snes/588301-earthbound
469050,The Legend of Zelda: The Wind Waker,99,4.38,2.92,43.09,/gamecube/469050-the-legend-of-zelda-the-wind-waker
684756,Mass Effect Trilogy,111,4.38,3.07,78.47,/xbox360/684756-mass-effect-trilogy
689474,Steins;Gate,117,4.38,2.49,41.77,/vita/689474-steinsgate
192511,Thief II: The Metal Age,19,4.38,3.42,30.91,/pc/192511-thief-ii-the-metal-age
979867,The Legend of Heroes: Trails in the Sky SC,19,4.38,3.12,74.02,/pc/979867-the-legend-of-heroes-trails-in-the-sky-sc
730565,Soul Sacrifice Delta,117,4.38,3.26,78.60,/vita/730565-soul-sacrifice-delta
160146,Dragon Quest VIII: Journey of the Cursed King,116,4.37,3.08,78.15,/3ds/160146-dragon-quest-viii-journey-of-the-cursed-king
130791,Final Fantasy VII,19,4.37,2.95,66.80,/pc/130791-final-fantasy-vii
562855,Resident Evil 2: Dual Shock Edition,78,4.37,3.18,20.20,/ps/562855-resident-evil-2-dual-shock-edition
183128,The Legend of Zelda: Twilight Princess HD,118,4.37,2.97,47.50,/wii-u/183128-the-legend-of-zelda-twilight-princess-hd
251075,Yo-kai Watch 3,116,4.37,3.02,80.00+,/3ds/251075-yo-kai-watch-3
576095,Mario - Die unheimliche Mine,24,4.37,3.19,33.29,/c64/576095-mario-die-unheimliche-mine
920769,The Legend of Zelda: Twilight Princess,99,4.37,2.97,44.58,/gamecube/920769-the-legend-of-zelda-twilight-princess
179835,Resident Evil 2,120,4.37,3.38,21.90,/ps4/179835-resident-evil-2
693332,Dark Souls II,111,4.37,4.35,72.30,/xbox360/693332-dark-souls-ii
516675,Star Wars: Knights of the Old Republic,19,4.37,3.02,46.34,/pc/516675-star-wars-knights-of-the-old-republic
919902,Ratchet & Clank: Up Your Arsenal,94,4.37,3.01,31.42,/ps2/919902-ratchet-and-clank-up-your-arsenal
722589,Hatsune Miku: Project Diva F 2nd,117,4.37,3.74,56.84,/vita/722589-hatsune-miku-project-diva-f-2nd
943732,Okami,114,4.37,3.03,49.39,/wii/943732-okami
537506,Skies of Arcadia Legends,99,4.37,3.04,62.35,/gamecube/537506-skies-of-arcadia-legends
786515,Yo-kai Watch 2: Bony Spirits,116,4.37,2.99,63.81,/3ds/786515-yo-kai-watch-2-bony-spirits
197344,Final Fantasy X,94,4.37,3.07,70.00,/ps2/197344-final-fantasy-x
191476,The Elder Scrolls V: Skyrim Special Edition,121,4.37,2.93,80.00+,/xboxone/191476-the-elder-scrolls-v-skyrim-special-edition
928401,Ninja Gaiden Black,98,4.37,4.31,35.74,/xbox/928401-ninja-gaiden-black
952337,Batman: Arkham Asylum,111,4.37,3.13,24.10,/xbox360/952337-batman-arkham-asylum
605239,Mass Effect 2,113,4.37,3.07,46.91,/ps3/605239-mass-effect-2
562643,The King of Fighters '98: The Slugfest,64,4.37,3.39,26.25,/neo/562643-the-king-of-fighters-98-the-slugfest
643558,Metal Gear Solid HD Collection,117,4.37,3.32,45.92,/vita/643558-metal-gear-solid-hd-collection
729328,Bravely Default,116,4.37,3.17,72.92,/3ds/729328-bravely-default
668928,The Walking Dead: Episode 5 - No Time Left,113,4.37,2.38,3.21,/ps3/668928-the-walking-dead-episode-5-no-time-left
641161,Kidou Senshi Gundam: Extreme VS,113,4.37,3.70,52.70,/ps3/641161-kidou-senshi-gundam-extreme-vs
938402,Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan 2,108,4.37,3.63,29.14,/ds/938402-moero-nekketsu-rhythm-damashii-osu-tatakae-ouendan-2
588479,Mega Man X,63,4.36,3.31,12.92,/snes/588479-mega-man-x
197769,The Legend of Zelda: Link's Awakening DX,57,4.36,3.10,23.07,/gbc/197769-the-legend-of-zelda-links-awakening-dx
102484,Final Fantasy X / X-2 HD Remaster,120,4.36,3.06,80.00+,/ps4/102484-final-fantasy-x-x-2-hd-remaster
957844,Heroes of Might and Magic III Complete,19,4.36,3.33,74.39,/pc/957844-heroes-of-might-and-magic-iii-complete
589456,Castlevania: Aria of Sorrow,91,4.36,3.05,23.30,/gba/589456-castlevania-aria-of-sorrow
708863,Shovel Knight,116,4.36,3.67,16.63,/3ds/708863-shovel-knight
