id_igre,ime,konzola,razvijalec,izdajatelj,datum,franšiza,zanr,ocena,tezavnost,dolzina,povezava
197771,The Legend of Zelda: Ocarina of Time,84,Nintendo,Nintendo,1998-11-23,Legend of Zelda,292,4.59,3.09,42.69,/n64/197771-the-legend-of-zelda-ocarina-of-time
641695,Persona 4 Golden,117,Atlus,Atlus,2012-11-20,Persona,71,4.59,3.06,78.65,/vita/641695-persona-4-golden
