id_igre,ime,konzola,konzola_kratica,ocena,tezavnost,dolzina,povezava
197237,Skies of Arcadia,dreamcast,DC,4.46,3.04,57.29,/dreamcast/197237-skies-of-arcadia
198258,Panzer Dragoon Saga,saturn,SAT,4.46,2.90,30.11,/saturn/198258-panzer-dragoon-saga
234547,Super Smash Bros. Ultimate,switch,NS,4.46,3.32,73.31,/switch/234547-super-smash-bros-ultimate
877120,The Legend of Zelda: Majora's Mask 3D,3ds,3DS,4.46,3.25,38.16,/3ds/877120-the-legend-of-zelda-majoras-mask-3d
258273,Baldur's Gate II: Shadows of Amn,pc,PC,4.46,3.42,75.58,/pc/258273-baldurs-gate-ii-shadows-of-amn
643003,Fire Emblem: Awakening,3ds,3DS,4.46,3.25,58.19,/3ds/643003-fire-emblem-awakening
920500,Okami,ps2,PS2,4.46,2.87,47.22,/ps2/920500-okami
702760,The Witcher 3: Wild Hunt,ps4,PS4,4.46,3.37,80.00+,/ps4/702760-the-witcher-3-wild-hunt
943356,Monster Hunter Freedom Unite,psp,PSP,4.45,4.03,80.00+,/psp/943356-monster-hunter-freedom-unite
955125,Uncharted 2: Among Thieves,ps3,PS3,4.45,3.10,20.79,/ps3/955125-uncharted-2-among-thieves
652686,The Last of Us,ps3,PS3,4.45,3.29,23.91,/ps3/652686-the-last-of-us
942695,Cave Story,pc,PC,4.45,3.70,14.91,/pc/942695-cave-story
588739,Super Mario RPG: Legend of the Seven Stars,snes,SNES,4.45,2.89,34.48,/snes/588739-super-mario-rpg-legend-of-the-seven-stars
189709,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,switch,NS,4.45,2.93,80.00+,/switch/189709-dragon-quest-xi-s-echoes-of-an-elusive-age-definitive
641334,Zero Escape: Virtue's Last Reward,3ds,3DS,4.45,3.27,39.11,/3ds/641334-zero-escape-virtues-last-reward
195484,Animal Crossing: New Leaf - Welcome Amiibo,3ds,3DS,4.45,2.59,80.00+,/3ds/195484-animal-crossing-new-leaf-welcome-amiibo
960551,Super Mario Galaxy 2,wii,WII,4.45,3.14,36.61,/wii/960551-super-mario-galaxy-2
920182,Paper Mario: The Thousand-Year Door,gamecube,GC,4.45,3.01,44.99,/gamecube/920182-paper-mario-the-thousand-year-door
683293,Bayonetta 2,wii-u,WIIU,4.45,3.64,31.43,/wii-u/683293-bayonetta-2
937269,Shin Megami Tensei: Persona 3 FES,ps2,PS2,4.44,3.58,78.94,/ps2/937269-shin-megami-tensei-persona-3-fes
937723,Castlevania: Symphony of the Night,xbox360,X360,4.44,3.18,28.98,/xbox360/937723-castlevania-symphony-of-the-night
805577,Bloodborne,ps4,PS4,4.44,4.12,62.93,/ps4/805577-bloodborne
198705,SoulCalibur,dreamcast,DC,4.44,3.07,27.94,/dreamcast/198705-soulcalibur
959194,Tales of Vesperia,ps3,PS3,4.44,3.09,78.66,/ps3/959194-tales-of-vesperia
437029,Silent Hill 2,ps2,PS2,4.43,3.16,17.84,/ps2/437029-silent-hill-2
991073,Portal 2,pc,PC,4.43,3.08,17.14,/pc/991073-portal-2
556553,Star Wars: Knights of the Old Republic,xbox,XBOX,4.43,3.09,51.66,/xbox/556553-star-wars-knights-of-the-old-republic
260936,Persona 5 Royal,ps4,PS4,4.43,2.85,80.00+,/ps4/260936-persona-5-royal
930370,Final Fantasy VI Advance,gba,GBA,4.43,3.03,53.28,/gba/930370-final-fantasy-vi-advance
934384,The Orange Box,xbox360,X360,4.43,3.20,43.70,/xbox360/934384-the-orange-box
187975,Planescape: Torment,pc,PC,4.43,3.18,54.43,/pc/187975-planescape-torment
991479,Monster Hunter Portable 3rd,psp,PSP,4.43,3.64,79.45,/psp/991479-monster-hunter-portable-3rd
562913,Chrono Trigger,ps,PS,4.43,3.02,48.10,/ps/562913-chrono-trigger
50544,Grim Fandango,pc,PC,4.43,3.35,22.75,/pc/50544-grim-fandango
711412,The Legend of Zelda: A Link Between Worlds,3ds,3DS,4.43,2.88,25.73,/3ds/711412-the-legend-of-zelda-a-link-between-worlds
981374,Batman: Arkham City,xbox360,X360,4.43,3.17,27.99,/xbox360/981374-batman-arkham-city
535836,Resident Evil,gamecube,GC,4.43,3.59,19.56,/gamecube/535836-resident-evil
250533,Deus Ex,pc,PC,4.43,3.31,38.24,/pc/250533-deus-ex
561577,Silent Hill 2,pc,PC,4.42,3.07,17.19,/pc/561577-silent-hill-2
915410,Kingdom Hearts II,ps2,PS2,4.42,2.96,53.68,/ps2/915410-kingdom-hearts-ii
561356,Golden Sun: The Lost Age,gba,GBA,4.42,3.07,50.32,/gba/561356-golden-sun-the-lost-age
563492,Snatcher,segacd,SCD,4.42,2.87,13.13,/segacd/563492-snatcher
998181,The ICO & Shadow of the Colossus Collection,ps3,PS3,4.42,3.25,26.69,/ps3/998181-the-ico-and-shadow-of-the-colossus-collection
997849,Portal 2,ps3,PS3,4.42,3.17,17.84,/ps3/997849-portal-2
204445,Fire Emblem: Three Houses,switch,NS,4.42,2.97,79.49,/switch/204445-fire-emblem-three-houses
763296,Danganronpa 2: Goodbye Despair,vita,VITA,4.42,3.01,38.45,/vita/763296-danganronpa-2-goodbye-despair
981375,Batman: Arkham City,ps3,PS3,4.42,3.16,28.43,/ps3/981375-batman-arkham-city
561508,Metal Gear Solid 2: Substance,ps2,PS2,4.42,3.25,28.94,/ps2/561508-metal-gear-solid-2-substance
197770,The Legend of Zelda: Majora's Mask,n64,N64,4.42,3.38,41.89,/n64/197770-the-legend-of-zelda-majoras-mask
564404,Fire Emblem: Seisen no Keifu,snes,SNES,4.42,3.72,50.21,/snes/564404-fire-emblem-seisen-no-keifu
991101,Portal 2,xbox360,X360,4.42,3.20,18.61,/xbox360/991101-portal-2
945075,Tales of Vesperia,xbox360,X360,4.42,3.07,70.97,/xbox360/945075-tales-of-vesperia
960100,Pokemon SoulSilver Version,ds,DS,4.41,2.88,57.03,/ds/960100-pokemon-soulsilver-version
447244,Metroid Prime,gamecube,GC,4.41,3.31,28.16,/gamecube/447244-metroid-prime
191627,God of War,ps4,PS4,4.41,3.45,41.08,/ps4/191627-god-of-war
588283,Donkey Kong Country 2: Diddy's Kong Quest,snes,SNES,4.41,3.41,21.73,/snes/588283-donkey-kong-country-2-diddys-kong-quest
925156,Resident Evil 4,ps2,PS2,4.41,3.29,28.40,/ps2/925156-resident-evil-4
197339,Final Fantasy Tactics,ps,PS,4.41,3.44,65.18,/ps/197339-final-fantasy-tactics
997885,Journey,ps3,PS3,4.41,2.10,4.36,/ps3/997885-journey
168677,NieR: Automata,ps4,PS4,4.41,3.03,54.19,/ps4/168677-nier-automata
941875,The Elder Scrolls IV: Oblivion - Game of the Year Edition,xbox360,X360,4.41,3.08,78.97,/xbox360/941875-the-elder-scrolls-iv-oblivion-game-of-the-year-edition
702759,The Witcher 3: Wild Hunt,xboxone,XONE,4.41,3.59,80.00+,/xboxone/702759-the-witcher-3-wild-hunt
960608,Fallout 3: Game of the Year Edition,xbox360,X360,4.41,3.09,73.55,/xbox360/960608-fallout-3-game-of-the-year-edition
200738,Monster Hunter XX: Double Cross,3ds,3DS,4.41,3.58,80.00+,/3ds/200738-monster-hunter-xx-double-cross
783739,The Last of Us Remastered,ps4,PS4,4.41,3.26,28.85,/ps4/783739-the-last-of-us-remastered
644272,Yakuza 5,ps3,PS3,4.40,2.97,78.49,/ps3/644272-yakuza-5
641809,Persona 5,ps3,PS3,4.40,3.12,80.00+,/ps3/641809-persona-5
696959,Pokemon X,3ds,3DS,4.40,2.51,59.39,/3ds/696959-pokemon-x
198848,Super Mario 64,n64,N64,4.40,3.12,35.72,/n64/198848-super-mario-64
643007,Monster Hunter 4,3ds,3DS,4.40,3.77,80.00+,/3ds/643007-monster-hunter-4
938210,The Orange Box,pc,PC,4.40,3.06,61.62,/pc/938210-the-orange-box
835582,Xenoblade Chronicles 3D,3ds,3DS,4.40,3.27,80.00+,/3ds/835582-xenoblade-chronicles-3d
974785,Ghost Trick: Phantom Detective,ds,DS,4.40,2.99,15.93,/ds/974785-ghost-trick-phantom-detective
971712,Fantasy Life,3ds,3DS,4.40,2.85,76.00,/3ds/971712-fantasy-life
25418,Starcraft,pc,PC,4.40,3.68,52.07,/pc/25418-starcraft
648893,Fallout: New Vegas - Ultimate Edition,pc,PC,4.40,3.02,77.85,/pc/648893-fallout-new-vegas-ultimate-edition
643016,Red Dead Redemption: Game of the Year Edition,ps3,PS3,4.40,3.04,48.87,/ps3/643016-red-dead-redemption-game-of-the-year-edition
633202,Super Smash Bros. for Wii U,wii-u,WIIU,4.40,3.18,71.63,/wii-u/633202-super-smash-bros-for-wii-u
960099,Pokemon HeartGold Version,ds,DS,4.40,2.86,58.27,/ds/960099-pokemon-heartgold-version
