id_igre,ime,konzola,konzola_kratica,ocena,tezavnost,dolzina,povezava 
937676,Kidou Senshi Gundam SEED: Rengou vs. Z.A.F.T.,psp,PSP,3.98,2.96,38.09,/psp/937676-kidou-senshi-gundam-seed-rengou-vs-zaft
954312,World of Goo,pc,PC,3.98,3.25,12.76,/pc/954312-world-of-goo
705967,Assassin's Creed IV: Black Flag,pc,PC,3.98,2.84,45.43,/pc/705967-assassins-creed-iv-black-flag
198115,Need for Speed III: Hot Pursuit,ps,PS,3.98,3.13,28.88,/ps/198115-need-for-speed-iii-hot-pursuit
141838,Fire Emblem Fates: Birthright,3ds,3DS,3.98,2.81,50.03,/3ds/141838-fire-emblem-fates-birthright
559078,Crimson Skies: High Road to Revenge,xbox,XBOX,3.98,3.16,21.58,/xbox/559078-crimson-skies-high-road-to-revenge
914860,The Lord of the Rings Online: Shadows of Angmar,pc,PC,3.98,3.04,80.00+,/pc/914860-the-lord-of-the-rings-online-shadows-of-angmar
182956,Fate / Grand Order,android,AND,3.98,3.08,80.00+,/android/182956-fate-grand-order
936978,Dead or Alive 5,xbox360,X360,3.98,3.35,24.44,/xbox360/936978-dead-or-alive-5
526754,Digimon Digital Card Battle,ps,PS,3.98,3.12,44.29,/ps/526754-digimon-digital-card-battle
934089,Tales of Phantasia: Full Voice Edition,psp,PSP,3.98,3.40,68.41,/psp/934089-tales-of-phantasia-full-voice-edition
727987,Hotline Miami 2: Wrong Number,ps4,PS4,3.98,4.05,16.48,/ps4/727987-hotline-miami-2-wrong-number
198238,Onimusha: Warlords,ps2,PS2,3.98,3.19,16.14,/ps2/198238-onimusha-warlords
827527,P.T.,ps4,PS4,3.98,3.75,6.21,/ps4/827527-pt
199201,Virtua Fighter 3tb,dreamcast,DC,3.98,3.50,27.06,/dreamcast/199201-virtua-fighter-3tb
230087,The Messenger,pc,PC,3.98,3.33,16.14,/pc/230087-the-messenger
944238,Phantasy Star Portable,psp,PSP,3.98,3.07,51.61,/psp/944238-phantasy-star-portable
116683,Saints Row IV: Re-Elected & Gat Out of Hell,ps4,PS4,3.98,2.74,41.72,/ps4/116683-saints-row-iv-re-elected-and-gat-out-of-hell
198909,Tenchu 2: Birth of the Stealth Assassins,ps,PS,3.98,3.35,25.86,/ps/198909-tenchu-2-birth-of-the-stealth-assassins
924452,Mega Man Battle Network 5: Team Protoman,gba,GBA,3.98,3.23,36.45,/gba/924452-mega-man-battle-network-5-team-protoman
944960,NCAA Football 09,ps3,PS3,3.98,2.69,39.61,/ps3/944960-ncaa-football-09
943433,Deadly Premonition: The Director's Cut,ps3,PS3,3.98,2.63,32.89,/ps3/943433-deadly-premonition-the-directors-cut
836704,Everybody's Golf,ps4,PS4,3.98,3.07,58.90,/ps4/836704-everybodys-golf
481078,Star Wars Rogue Leader: Rogue Squadron II,gamecube,GC,3.98,3.70,27.02,/gamecube/481078-star-wars-rogue-leader-rogue-squadron-ii
516547,Star Wars Jedi Knight II: Jedi Outcast,pc,PC,3.98,3.21,23.09,/pc/516547-star-wars-jedi-knight-ii-jedi-outcast
627124,Hyperdimension Neptunia mk2,ps3,PS3,3.98,2.89,48.08,/ps3/627124-hyperdimension-neptunia-mk2
935718,Mega Man Star Force: Leo,ds,DS,3.98,2.95,34.25,/ds/935718-mega-man-star-force-leo
915334,Goemon's Great Adventure,n64,N64,3.98,3.43,32.81,/n64/915334-goemons-great-adventure
632689,Dance Central 2,xbox360,X360,3.98,3.16,37.69,/xbox360/632689-dance-central-2
238776,Bloodstained: Curse of the Moon,ps4,PS4,3.98,3.47,8.33,/ps4/238776-bloodstained-curse-of-the-moon
589687,Kirby Air Ride,gamecube,GC,3.98,2.80,38.37,/gamecube/589687-kirby-air-ride
991499,Chaos Rings,iphone,IOS,3.98,2.73,26.87,/iphone/991499-chaos-rings
197862,Mario Party 2,n64,N64,3.97,2.81,31.36,/n64/197862-mario-party-2
669064,Sonic & All-Stars Racing Transformed,ps3,PS3,3.97,3.38,29.05,/ps3/669064-sonic-and-all-stars-racing-transformed
722615,Ratchet & Clank: Into the Nexus,ps3,PS3,3.97,2.78,14.03,/ps3/722615-ratchet-and-clank-into-the-nexus
919760,Shadow of Rome,ps2,PS2,3.97,3.64,28.42,/ps2/919760-shadow-of-rome
657527,LEGO Batman 2: DC Super Heroes,wii,WII,3.97,2.63,38.53,/wii/657527-lego-batman-2-dc-super-heroes
649269,Saints Row IV,ps3,PS3,3.97,2.80,34.36,/ps3/649269-saints-row-iv
211141,Dragon Ball FighterZ,ps4,PS4,3.97,3.04,41.36,/ps4/211141-dragon-ball-fighterz
933012,Super Paper Mario,wii,WII,3.97,2.86,33.04,/wii/933012-super-paper-mario
180304,Pokken Tournament,wii-u,WIIU,3.97,3.13,39.90,/wii-u/180304-pokken-tournament
627465,NBA 2K12,ps3,PS3,3.97,3.12,51.99,/ps3/627465-nba-2k12
624321,Magic: The Gathering - Duels of the Planeswalkers 2012,xbox360,X360,3.97,3.10,22.70,/xbox360/624321-magic-the-gathering-duels-of-the-planeswalkers-2012
675323,Sword Art Online: Infinity Moment,psp,PSP,3.97,2.98,57.00,/psp/675323-sword-art-online-infinity-moment
735002,SOMA,pc,PC,3.97,2.74,11.26,/pc/735002-soma
196919,ChuChu Rocket!,dreamcast,DC,3.97,3.32,24.69,/dreamcast/196919-chuchu-rocket
914389,Medal of Honor Underground,ps,PS,3.97,3.20,17.80,/ps/914389-medal-of-honor-underground
221709,Dragon's Crown Pro,ps4,PS4,3.97,3.13,65.03,/ps4/221709-dragons-crown-pro
942235,Titan Quest: Gold Edition,pc,PC,3.97,3.03,56.88,/pc/942235-titan-quest-gold-edition
730569,Danganronpa Another Episode: Ultra Despair Girls,vita,VITA,3.97,2.87,23.32,/vita/730569-danganronpa-another-episode-ultra-despair-girls
589682,.hack//Quarantine Part 4,ps2,PS2,3.97,3.18,43.08,/ps2/589682-hack-quarantine-part-4
576155,Arc the Lad III,ps,PS,3.97,2.93,62.23,/ps/576155-arc-the-lad-iii
632900,Sly Cooper: Thieves in Time,ps3,PS3,3.97,2.74,21.44,/ps3/632900-sly-cooper-thieves-in-time
211386,Rocket League,switch,NS,3.97,3.48,47.58,/switch/211386-rocket-league
928006,Alan Wake,xbox360,X360,3.97,3.07,18.32,/xbox360/928006-alan-wake
196825,Broken Sword: The Smoking Mirror,pc,PC,3.97,3.25,15.97,/pc/196825-broken-sword-the-smoking-mirror
204230,Ultra Street Fighter II: The Final Challengers,switch,NS,3.97,3.21,30.17,/switch/204230-ultra-street-fighter-ii-the-final-challengers
209992,LEGO Marvel Super Heroes 2,ps4,PS4,3.97,2.56,42.14,/ps4/209992-lego-marvel-super-heroes-2
959313,Naruto Shippuden: Clash of Ninja Revolution III,wii,WII,3.97,3.32,27.39,/wii/959313-naruto-shippuden-clash-of-ninja-revolution-iii
939459,Saints Row 2,ps3,PS3,3.97,2.86,38.04,/ps3/939459-saints-row-2
926276,Kingdom Under Fire: Heroes,xbox,XBOX,3.97,3.85,51.76,/xbox/926276-kingdom-under-fire-heroes
268808,Digimon Story Cyber Sleuth: Complete Edition,switch,NS,3.97,2.99,80.00+,/switch/268808-digimon-story-cyber-sleuth-complete-edition
795266,Far Cry 4,ps3,PS3,3.97,2.97,39.23,/ps3/795266-far-cry-4
704526,The Witness,ps4,PS4,3.97,4.01,34.70,/ps4/704526-the-witness
835981,Senran Kagura: Estival Versus,ps4,PS4,3.97,2.71,41.55,/ps4/835981-senran-kagura-estival-versus
238781,Bloodstained: Curse of the Moon,pc,PC,3.97,3.25,7.04,/pc/238781-bloodstained-curse-of-the-moon
932300,Gurumin: A Monstrous Adventure,psp,PSP,3.97,2.67,24.19,/psp/932300-gurumin-a-monstrous-adventure
704458,Hotline Miami,ps3,PS3,3.97,3.90,12.25,/ps3/704458-hotline-miami
195378,Metal Gear Solid V: The Definitive Experience,ps4,PS4,3.97,3.50,77.62,/ps4/195378-metal-gear-solid-v-the-definitive-experience
197763,Legacy of Kain: Soul Reaver,ps,PS,3.97,3.24,22.90,/ps/197763-legacy-of-kain-soul-reaver
673445,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,wii-u,WIIU,3.97,3.69,14.60,/wii-u/673445-bittrip-presentsrunner2-future-legend-of-rhythm-alien
947071,FIFA Soccer 09,xbox360,X360,3.97,2.80,45.83,/xbox360/947071-fifa-soccer-09
914586,Call of Duty,pc,PC,3.97,3.00,17.12,/pc/914586-call-of-duty
588762,Super Turrican 2,snes,SNES,3.97,3.79,11.32,/snes/588762-super-turrican-2
946757,Guitar Hero: Metallica,ps3,PS3,3.97,3.36,29.10,/ps3/946757-guitar-hero-metallica
182931,Overwatch,xboxone,XONE,3.97,3.12,66.48,/xboxone/182931-overwatch
168564,Gears of War: Ultimate Edition,xboxone,XONE,3.97,3.17,22.38,/xboxone/168564-gears-of-war-ultimate-edition
930702,Gradius Collection,psp,PSP,3.97,4.14,24.34,/psp/930702-gradius-collection
935677,Ninja Gaiden Sigma,ps3,PS3,3.97,4.26,25.63,/ps3/935677-ninja-gaiden-sigma
676132,Marvel vs. Capcom Origins,ps3,PS3,3.97,3.26,24.31,/ps3/676132-marvel-vs-capcom-origins
47995,Worms 2,pc,PC,3.97,2.98,36.11,/pc/47995-worms-2
960628,Hot Shots Tennis: Get a Grip,psp,PSP,3.97,3.22,34.06,/psp/960628-hot-shots-tennis-get-a-grip
746391,New Super Mario Bros. U + New Super Luigi U,wii-u,WIIU,3.97,3.12,29.84,/wii-u/746391-new-super-mario-bros-u-plus-new-super-luigi-u
730706,Shantae: Half-Genie Hero,wii-u,WIIU,3.97,2.80,18.29,/wii-u/730706-shantae-half-genie-hero
179743,Stellaris,pc,PC,3.97,3.39,80.00+,/pc/179743-stellaris
944211,Warriors Orochi,psp,PSP,3.97,2.97,51.07,/psp/944211-warriors-orochi
944011,Ghostbusters: The Video Game,xbox360,X360,3.97,2.94,16.56,/xbox360/944011-ghostbusters-the-video-game
562646,Kirby's Dream Land 3,snes,SNES,3.97,2.72,13.91,/snes/562646-kirbys-dream-land-3
932684,Dragon Quest Heroes: Rocket Slime,ds,DS,3.97,2.36,23.32,/ds/932684-dragon-quest-heroes-rocket-slime
925677,The Incredible Hulk: Ultimate Destruction,gamecube,GC,3.97,3.25,24.72,/gamecube/925677-the-incredible-hulk-ultimate-destruction
632940,Darksiders II,wii-u,WIIU,3.97,3.23,42.99,/wii-u/632940-darksiders-ii
588823,New Horizons,snes,SNES,3.97,3.25,63.87,/snes/588823-new-horizons
920413,Boktai 2: Solar Boy Django,gba,GBA,3.97,3.25,35.06,/gba/920413-boktai-2-solar-boy-django
588633,Romancing SaGa 2,snes,SNES,3.97,3.89,54.68,/snes/588633-romancing-saga-2
100020,The Banner Saga 2,pc,PC,3.97,3.28,17.45,/pc/100020-the-banner-saga-2
588699,Street Fighter Alpha 2,snes,SNES,3.97,3.12,14.33,/snes/588699-street-fighter-alpha-2
953877,Dynasty Warriors: Strikeforce,psp,PSP,3.97,3.62,47.22,/psp/953877-dynasty-warriors-strikeforce
959865,Marvel vs. Capcom 2,ps3,PS3,3.97,3.62,23.25,/ps3/959865-marvel-vs-capcom-2
587608,Shatterhand,nes,NES,3.97,3.63,6.40,/nes/587608-shatterhand
913803,Commandos 2: Men of Courage,pc,PC,3.97,3.83,31.54,/pc/913803-commandos-2-men-of-courage
914444,DOOM 3,xbox,XBOX,3.97,3.24,22.01,/xbox/914444-doom-3
930303,Harvest Moon DS Cute,ds,DS,3.97,2.98,60.34,/ds/930303-harvest-moon-ds-cute
732890,Ar nosurge: Ode to an Unborn Star,ps3,PS3,3.97,2.73,59.85,/ps3/732890-ar-nosurge-ode-to-an-unborn-star
647243,Pirates of the Caribbean: Master of the Seas,iphone,IOS,3.97,2.69,75.88,/iphone/647243-pirates-of-the-caribbean-master-of-the-seas
954513,DJ Max Fever,psp,PSP,3.97,3.64,34.81,/psp/954513-dj-max-fever
719738,The Elder Scrolls Online: Tamriel Unlimited,xboxone,XONE,3.97,3.04,75.23,/xboxone/719738-the-elder-scrolls-online-tamriel-unlimited
685804,Crashmo,3ds,3DS,3.97,3.76,23.53,/3ds/685804-crashmo
727960,The Stanley Parable,pc,PC,3.97,2.12,5.25,/pc/727960-the-stanley-parable
188991,BlazBlue: Central Fiction,ps4,PS4,3.97,3.17,46.52,/ps4/188991-blazblue-central-fiction
827415,Sleeping Dogs: Definitive Edition,pc,PC,3.97,2.85,35.16,/pc/827415-sleeping-dogs-definitive-edition
626634,Super Street Fighter IV: Arcade Edition,xbox360,X360,3.97,3.41,32.98,/xbox360/626634-super-street-fighter-iv-arcade-edition
914760,Monster Rancher 4,ps2,PS2,3.97,3.07,50.95,/ps2/914760-monster-rancher-4
941965,Trauma Center: New Blood,wii,WII,3.97,3.75,22.59,/wii/941965-trauma-center-new-blood
211362,Undertale,ps4,PS4,3.97,3.00,11.89,/ps4/211362-undertale
921865,Samurai Warriors: Xtreme Legends,ps2,PS2,3.97,3.09,42.60,/ps2/921865-samurai-warriors-xtreme-legends
913703,Wild ARMs 2,ps,PS,3.97,3.01,54.25,/ps/913703-wild-arms-2
454261,Sid Meier's Civilization III,pc,PC,3.97,3.28,61.06,/pc/454261-sid-meiers-civilization-iii
640920,Sonic CD,pc,PC,3.97,3.09,6.82,/pc/640920-sonic-cd
202646,What Remains of Edith Finch,pc,PC,3.97,1.20,3.28,/pc/202646-what-remains-of-edith-finch
939636,The Sims 2: Bon Voyage,pc,PC,3.97,2.37,70.45,/pc/939636-the-sims-2-bon-voyage
991144,Kingdoms of Amalur: Reckoning,xbox360,X360,3.97,2.71,59.47,/xbox360/991144-kingdoms-of-amalur-reckoning
693954,Hitman HD Trilogy,ps3,PS3,3.97,3.76,44.86,/ps3/693954-hitman-hd-trilogy
931975,LEGO Star Wars II: The Original Trilogy,xbox,XBOX,3.97,2.39,34.83,/xbox/931975-lego-star-wars-ii-the-original-trilogy
931475,Mega Man ZX,ds,DS,3.97,3.33,21.12,/ds/931475-mega-man-zx
959641,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,psp,PSP,3.97,2.83,24.54,/psp/959641-socom-us-navy-seals-fireteam-bravo-3
936555,Titan Quest: Immortal Throne,pc,PC,3.97,3.08,51.30,/pc/936555-titan-quest-immortal-throne
261123,Borderlands: Game of the Year Edition,ps4,PS4,3.97,2.90,68.01,/ps4/261123-borderlands-game-of-the-year-edition
929584,Resident Evil: Deadly Silence,ds,DS,3.96,3.29,12.76,/ds/929584-resident-evil-deadly-silence
943434,Naruto: Ultimate Ninja Storm,ps3,PS3,3.96,2.79,27.37,/ps3/943434-naruto-ultimate-ninja-storm
564920,Loom,pc,PC,3.96,2.83,12.83,/pc/564920-loom
932915,Metal Slug Anthology,psp,PSP,3.96,3.60,18.08,/psp/932915-metal-slug-anthology
995180,Dragon Ball Z: Tenkaichi Tag Team,psp,PSP,3.96,2.98,27.59,/psp/995180-dragon-ball-z-tenkaichi-tag-team
609543,Ace Combat: Assault Horizon Legacy,3ds,3DS,3.96,3.02,21.56,/3ds/609543-ace-combat-assault-horizon-legacy
935085,Battlefield: Bad Company,xbox360,X360,3.96,3.00,22.00,/xbox360/935085-battlefield-bad-company
978779,BlazBlue: Calamity Trigger Portable,psp,PSP,3.96,3.37,21.22,/psp/978779-blazblue-calamity-trigger-portable
52149,Sanitarium,pc,PC,3.96,2.95,15.85,/pc/52149-sanitarium
925776,Grand Theft Auto: Liberty City Stories,psp,PSP,3.96,3.10,37.11,/psp/925776-grand-theft-auto-liberty-city-stories
617226,ClaDun x2,psp,PSP,3.96,3.50,51.93,/psp/617226-cladun-x2
835586,State of Decay: Year One Survival Edition,xboxone,XONE,3.96,3.32,55.54,/xboxone/835586-state-of-decay-year-one-survival-edition
100033,Enter the Gungeon,ps4,PS4,3.96,4.26,70.04,/ps4/100033-enter-the-gungeon
195938,LEGO Harry Potter Collection,ps4,PS4,3.96,2.61,54.16,/ps4/195938-lego-harry-potter-collection
960173,Might & Magic: Clash of Heroes,ds,DS,3.96,3.31,33.04,/ds/960173-might-and-magic-clash-of-heroes
563516,Bahamut Lagoon,snes,SNES,3.96,2.93,35.81,/snes/563516-bahamut-lagoon
921257,Riviera: The Promised Land,gba,GBA,3.96,3.08,33.47,/gba/921257-riviera-the-promised-land
655773,LEGO Batman 2: DC Super Heroes,xbox360,X360,3.96,2.57,26.76,/xbox360/655773-lego-batman-2-dc-super-heroes
920130,The Godfather,ps2,PS2,3.96,3.01,34.18,/ps2/920130-the-godfather
656612,Marvel: Avengers Alliance,webonly,WEB,3.96,3.29,80.00+,/webonly/656612-marvel-avengers-alliance
973379,Skate 3,xbox360,X360,3.96,2.97,41.50,/xbox360/973379-skate-3
932491,Heroes of Might and Magic II Gold,pc,PC,3.96,3.26,65.84,/pc/932491-heroes-of-might-and-magic-ii-gold
119318,LEGO Jurassic World,ps4,PS4,3.96,2.22,37.27,/ps4/119318-lego-jurassic-world
922367,Sid Meier's Pirates!,xbox,XBOX,3.96,3.02,47.70,/xbox/922367-sid-meiers-pirates
971444,Victoria II,pc,PC,3.96,3.67,71.70,/pc/971444-victoria-ii
919278,Star Wars: Battlefront,ps2,PS2,3.96,2.92,31.17,/ps2/919278-star-wars-battlefront
672704,LEGO The Lord of the Rings,xbox360,X360,3.96,2.53,27.74,/xbox360/672704-lego-the-lord-of-the-rings
955510,Braid,pc,PC,3.96,3.63,8.74,/pc/955510-braid
197118,Diddy Kong Racing,n64,N64,3.96,3.29,29.46,/n64/197118-diddy-kong-racing
997816,Dead or Alive Dimensions,3ds,3DS,3.96,3.04,19.85,/3ds/997816-dead-or-alive-dimensions
804186,Halo: The Master Chief Collection,xboxone,XONE,3.96,3.37,67.02,/xboxone/804186-halo-the-master-chief-collection
778830,Atelier Shallie: Alchemists of the Dusk Sea,ps3,PS3,3.96,2.92,63.04,/ps3/778830-atelier-shallie-alchemists-of-the-dusk-sea
971744,LEGO Star Wars: The Complete Saga,pc,PC,3.96,2.37,35.49,/pc/971744-lego-star-wars-the-complete-saga
914514,Panzer Dragoon,saturn,SAT,3.96,3.67,10.56,/saturn/914514-panzer-dragoon
955086,DiRT 2,xbox360,X360,3.96,2.96,33.10,/xbox360/955086-dirt-2
186883,Momodora: Reverie Under the Moonlight,pc,PC,3.96,3.16,7.30,/pc/186883-momodora-reverie-under-the-moonlight
198876,Syphon Filter,ps,PS,3.96,3.35,20.18,/ps/198876-syphon-filter
563296,Super Mario Land 3: Wario Land,gameboy,GB,3.96,2.99,15.46,/gameboy/563296-super-mario-land-3-wario-land
991752,NHL 11,xbox360,X360,3.96,2.91,58.15,/xbox360/991752-nhl-11
106668,Geometry Dash,pc,PC,3.96,4.51,62.25,/pc/106668-geometry-dash
589452,Donkey Kong Country,gba,GBA,3.96,3.27,15.39,/gba/589452-donkey-kong-country
789658,Fatal Frame: Maiden of Black Water,wii-u,WIIU,3.96,2.88,30.77,/wii-u/789658-fatal-frame-maiden-of-black-water
919355,"Warhammer 40,000: Dawn of War",pc,PC,3.96,3.02,26.09,/pc/919355-warhammer-40000-dawn-of-war
958704,NCAA Football 10,xbox360,X360,3.96,2.53,49.44,/xbox360/958704-ncaa-football-10
918893,Shining Force: Resurrection of the Dark Dragon,gba,GBA,3.96,2.98,29.73,/gba/918893-shining-force-resurrection-of-the-dark-dragon
920061,Max Payne 3,pc,PC,3.96,3.31,16.23,/pc/920061-max-payne-3
116981,Hyperdimension Neptunia Re;Birth1,pc,PC,3.96,2.97,55.13,/pc/116981-hyperdimension-neptunia-rebirth1
979864,Ys I & II Chronicles,pc,PC,3.96,3.38,23.18,/pc/979864-ys-i-and-ii-chronicles
777720,Hotline Miami,ps4,PS4,3.96,3.87,13.70,/ps4/777720-hotline-miami
676844,Naruto Shippuden: Ultimate Ninja Storm 3,ps3,PS3,3.96,2.91,28.78,/ps3/676844-naruto-shippuden-ultimate-ninja-storm-3
196791,Blue Stinger,dreamcast,DC,3.96,3.26,20.28,/dreamcast/196791-blue-stinger
684234,Earth Defense Force 2025,ps3,PS3,3.96,3.34,72.20,/ps3/684234-earth-defense-force-2025
206502,Enter the Gungeon,switch,NS,3.96,4.45,59.18,/switch/206502-enter-the-gungeon
973380,Skate 3,ps3,PS3,3.96,3.03,46.29,/ps3/973380-skate-3
932632,Ar tonelico: Melody of Elemia,ps2,PS2,3.96,2.67,51.76,/ps2/932632-ar-tonelico-melody-of-elemia
914544,Baldur's Gate: Dark Alliance II,xbox,XBOX,3.96,2.93,32.59,/xbox/914544-baldurs-gate-dark-alliance-ii
918959,Civilization III: Gold Edition,pc,PC,3.96,3.38,54.51,/pc/918959-civilization-iii-gold-edition
935834,Guitar Hero II,xbox360,X360,3.96,3.27,27.28,/xbox360/935834-guitar-hero-ii
632934,New Super Mario Bros. U,wii-u,WIIU,3.96,2.99,21.27,/wii-u/632934-new-super-mario-bros-u
960205,Shatter,ps3,PS3,3.96,3.06,9.05,/ps3/960205-shatter
984778,Bit.Trip Runner,wii,WII,3.96,4.20,17.66,/wii/984778-bittrip-runner
519264,Xenosaga Episode I: Der Wille zur Macht,ps2,PS2,3.96,3.21,54.05,/ps2/519264-xenosaga-episode-i-der-wille-zur-macht
718644,Plants vs Zombies: Garden Warfare,xbox360,X360,3.96,3.12,52.54,/xbox360/718644-plants-vs-zombies-garden-warfare
586494,Street Fighter II': Special Champion Edition,genesis,GEN,3.96,3.28,19.05,/genesis/586494-street-fighter-ii-special-champion-edition
914940,Conker: Live & Reloaded,xbox,XBOX,3.96,3.19,23.12,/xbox/914940-conker-live-and-reloaded
557190,Contra: Shattered Soldier,ps2,PS2,3.96,4.41,17.38,/ps2/557190-contra-shattered-soldier
199052,Tomba! 2: The Evil Swine Return,ps,PS,3.96,2.99,29.24,/ps/199052-tomba-2-the-evil-swine-return
930044,LocoRoco,psp,PSP,3.96,2.63,13.80,/psp/930044-locoroco
914574,Star Wars Jedi Knight: Jedi Academy,pc,PC,3.96,3.02,22.32,/pc/914574-star-wars-jedi-knight-jedi-academy
198787,Star Wars: Rogue Squadron,n64,N64,3.96,3.45,26.73,/n64/198787-star-wars-rogue-squadron
605448,Plants vs. Zombies,ds,DS,3.96,3.07,27.16,/ds/605448-plants-vs-zombies
622416,Unchained Blades,3ds,3DS,3.95,3.80,69.47,/3ds/622416-unchained-blades
957944,Battlefield: Bad Company 2,pc,PC,3.95,3.05,31.36,/pc/957944-battlefield-bad-company-2
742156,Brave Frontier,iphone,IOS,3.95,3.08,76.36,/iphone/742156-brave-frontier
563502,ActRaiser,snes,SNES,3.95,3.24,13.86,/snes/563502-actraiser
938686,Devil May Cry 4,xbox360,X360,3.95,3.41,24.35,/xbox360/938686-devil-may-cry-4
954748,BioShock 2,ps3,PS3,3.95,3.11,21.34,/ps3/954748-bioshock-2
953919,X-Men Origins: Wolverine,xbox360,X360,3.95,2.90,19.32,/xbox360/953919-x-men-origins-wolverine
640856,Sonic CD,ps3,PS3,3.95,3.02,7.41,/ps3/640856-sonic-cd
932731,Forza Motorsport 2,xbox360,X360,3.95,3.09,53.37,/xbox360/932731-forza-motorsport-2
643141,Ultimate Marvel vs. Capcom 3,vita,VITA,3.95,3.34,25.86,/vita/643141-ultimate-marvel-vs-capcom-3
835983,Fairy Fencer F: Advent Dark Force,ps4,PS4,3.95,2.94,67.81,/ps4/835983-fairy-fencer-f-advent-dark-force
763170,NES Remix 2,wii-u,WIIU,3.95,3.38,13.65,/wii-u/763170-nes-remix-2
954853,Saints Row: The Third,pc,PC,3.95,2.71,35.19,/pc/954853-saints-row-the-third
941683,Sid Meier's Civilization Revolution,ps3,PS3,3.95,2.97,41.28,/ps3/941683-sid-meiers-civilization-revolution
725566,SteamWorld Dig,3ds,3DS,3.95,2.84,8.87,/3ds/725566-steamworld-dig
557004,Tom Clancy's Rainbow Six 3,xbox,XBOX,3.95,3.54,22.92,/xbox/557004-tom-clancys-rainbow-six-3
716429,Mortal Kombat Komplete Edition,pc,PC,3.95,3.33,26.48,/pc/716429-mortal-kombat-komplete-edition
651942,Sly 2: Band of Thieves,ps3,PS3,3.95,2.76,19.33,/ps3/651942-sly-2-band-of-thieves
211372,The Elder Scrolls V: Skyrim VR,ps4,PS4,3.95,3.01,79.00,/ps4/211372-the-elder-scrolls-v-skyrim-vr
210167,Resident Evil: Revelations,ps4,PS4,3.95,3.26,23.13,/ps4/210167-resident-evil-revelations
673307,Sonic & All-Stars Racing Transformed,wii-u,WIIU,3.95,3.43,35.95,/wii-u/673307-sonic-and-all-stars-racing-transformed
944908,Skate 2,ps3,PS3,3.95,3.04,36.17,/ps3/944908-skate-2
939534,Midnight Club: Los Angeles,ps3,PS3,3.95,3.18,40.97,/ps3/939534-midnight-club-los-angeles
195263,Nox,pc,PC,3.95,3.12,28.96,/pc/195263-nox
563444,Mega Man 4,nes,NES,3.95,3.39,8.72,/nes/563444-mega-man-4
198626,Shining the Holy Ark,saturn,SAT,3.95,3.30,48.48,/saturn/198626-shining-the-holy-ark
938702,Ace Combat 6: Fires of Liberation,xbox360,X360,3.95,3.25,21.77,/xbox360/938702-ace-combat-6-fires-of-liberation
996390,Dragon Ball: Raging Blast 2,xbox360,X360,3.95,3.06,32.92,/xbox360/996390-dragon-ball-raging-blast-2
198506,Rocket: Robot on Wheels,n64,N64,3.95,3.05,41.49,/n64/198506-rocket-robot-on-wheels
925945,Pokemon XD: Gale of Darkness,gamecube,GC,3.95,2.92,40.94,/gamecube/925945-pokemon-xd-gale-of-darkness
536238,Serious Sam: The Second Encounter,pc,PC,3.95,3.28,20.88,/pc/536238-serious-sam-the-second-encounter
605725,Broken Sword: Shadow of the Templars - The Director's Cut,pc,PC,3.95,3.12,14.27,/pc/605725-broken-sword-shadow-of-the-templars-the-directors-cut
561887,Ikaruga,dreamcast,DC,3.95,4.24,22.56,/dreamcast/561887-ikaruga
520511,Onimusha 2: Samurai's Destiny,ps2,PS2,3.95,3.18,20.44,/ps2/520511-onimusha-2-samurais-destiny
708530,Disney DuckTales Remastered,ps3,PS3,3.95,3.13,6.76,/ps3/708530-disney-ducktales-remastered
997173,Sonic Colors,wii,WII,3.95,2.95,17.31,/wii/997173-sonic-colors
536558,City of Heroes,pc,PC,3.95,2.86,80.00+,/pc/536558-city-of-heroes
588802,Top Gear,snes,SNES,3.95,3.17,16.99,/snes/588802-top-gear
704812,Armored Core: Verdict Day,ps3,PS3,3.95,3.90,40.36,/ps3/704812-armored-core-verdict-day
430571,EVE Online,pc,PC,3.95,4.15,80.00+,/pc/430571-eve-online
932108,LEGO Star Wars II: The Original Trilogy,psp,PSP,3.95,2.26,28.35,/psp/932108-lego-star-wars-ii-the-original-trilogy
600767,Sonic the Hedgehog 2,iphone,IOS,3.95,3.19,21.44,/iphone/600767-sonic-the-hedgehog-2
170517,Divinity: Original Sin Enhanced Edition,ps4,PS4,3.95,3.88,78.64,/ps4/170517-divinity-original-sin-enhanced-edition
627286,NHL 12,xbox360,X360,3.95,3.03,54.57,/xbox360/627286-nhl-12
197191,Dynamite Cop!,dreamcast,DC,3.95,3.29,15.70,/dreamcast/197191-dynamite-cop
531098,Grandia II,pc,PC,3.95,2.78,43.99,/pc/531098-grandia-ii
997832,Samurai Warriors Chronicles,3ds,3DS,3.95,3.23,51.07,/3ds/997832-samurai-warriors-chronicles
939159,GRID,ps3,PS3,3.95,3.32,31.39,/ps3/939159-grid
199374,X-Men vs. Street Fighter,saturn,SAT,3.95,3.05,16.40,/saturn/199374-x-men-vs-street-fighter
954814,Peggle,xbox360,X360,3.95,2.89,12.89,/xbox360/954814-peggle
667607,Axiom Verge,pc,PC,3.95,3.21,14.69,/pc/667607-axiom-verge
579136,Radical Dreamers,snes,SNES,3.95,2.42,13.92,/snes/579136-radical-dreamers
